"ID","X","Y","Elevation","Distance (Segment)","Distance (Total)","Distance 3D (Segment)","Distance 3D (Total)","Slope (Degrees)","Slope (Percent)","Segment Index"
1,400272.163,3876563.397,0.014,0,0,0,0,,,1
2,400272.263,3876563.271,0.025,0.1607,0.1607,0.1611,0.1611,4.0,7.1,1
3,400272.364,3876563.145,0.036,0.1607,0.3215,0.1611,0.3223,4.0,7.0,1
4,400272.464,3876563.020,0.05,0.1607,0.4822,0.1613,0.4836,4.9,8.6,1
5,400272.564,3876562.894,0.067,0.1607,0.643,0.1616,0.645,6.0,10.4,1
6,400272.664,3876562.769,0.086,0.1607,0.804,0.1619,0.807,6.9,12.1,1
7,400272.765,3876562.643,0.106,0.1607,0.964,0.1619,0.969,6.9,12.1,1
8,400272.865,3876562.517,0.125,0.1607,1.125,0.1619,1.131,6.9,12.1,1
9,400272.965,3876562.392,0.142,0.1607,1.286,0.1617,1.293,6.1,10.7,1
10,400273.065,3876562.266,0.156,0.1607,1.447,0.1613,1.454,4.9,8.5,1
11,400273.165,3876562.140,0.166,0.1607,1.607,0.1611,1.615,3.6,6.2,1
12,400273.266,3876562.015,0.174,0.1607,1.768,0.1609,1.776,2.6,4.6,1
13,400273.366,3876561.889,0.178,0.1607,1.929,0.1608,1.937,1.7,3.0,1
14,400273.466,3876561.763,0.182,0.1607,2.09,0.1608,2.098,1.3,2.3,1
15,400273.566,3876561.638,0.184,0.1607,2.25,0.1608,2.258,0.8,1.4,1
16,400273.666,3876561.512,0.186,0.1607,2.411,0.1608,2.419,0.4,0.7,1
17,400273.767,3876561.387,0.186,0.1607,2.572,0.1607,2.58,0.2,0.3,1
18,400273.867,3876561.261,0.187,0.1607,2.733,0.1607,2.741,0.4,0.7,1
19,400273.967,3876561.135,0.189,0.1607,2.893,0.1608,2.901,0.6,1.0,1
20,400274.067,3876561.010,0.191,0.1607,3.054,0.1608,3.062,0.7,1.2,1
21,400274.167,3876560.884,0.194,0.1607,3.215,0.1608,3.223,1.2,2.1,1
22,400274.268,3876560.758,0.197,0.1607,3.376,0.1608,3.384,1.2,2.0,1
23,400274.368,3876560.633,0.201,0.1607,3.536,0.1608,3.544,1.2,2.1,1
24,400274.468,3876560.507,0.203,0.1607,3.697,0.1608,3.705,0.9,1.5,1
25,400274.568,3876560.381,0.205,0.1607,3.858,0.1608,3.866,0.6,1.1,1
26,400274.668,3876560.256,0.206,0.1607,4.019,0.1607,4.027,0.3,0.5,1
27,400274.769,3876560.130,0.206,0.1607,4.179,0.1607,4.187,0.2,0.3,1
28,400274.869,3876560.005,0.207,0.1607,4.34,0.1607,4.348,0.1,0.2,1
29,400274.969,3876559.879,0.208,0.1607,4.501,0.1608,4.509,0.5,1.0,1
30,400275.069,3876559.753,0.21,0.1607,4.662,0.1608,4.67,0.6,1.1,1
31,400275.169,3876559.628,0.213,0.1607,4.822,0.1608,4.83,1.0,1.7,1
32,400275.270,3876559.502,0.214,0.1607,4.983,0.1608,4.991,0.4,0.7,1
33,400275.370,3876559.376,0.214,0.1607,5.144,0.1607,5.152,0.2,0.3,1
34,400275.470,3876559.251,0.214,0.1607,5.305,0.1607,5.313,0.0,0.0,1
35,400275.570,3876559.125,0.213,0.1607,5.465,0.1608,5.473,0.5,0.8,1
36,400275.671,3876559.000,0.212,0.1607,5.626,0.1607,5.634,0.3,0.5,1
37,400275.771,3876558.874,0.212,0.1607,5.787,0.1607,5.795,0.1,0.3,1
38,400275.871,3876558.748,0.213,0.1607,5.948,0.1607,5.956,0.3,0.6,1
39,400275.971,3876558.623,0.216,0.1607,6.108,0.1608,6.117,1.1,1.9,1
40,400276.071,3876558.497,0.221,0.1607,6.269,0.1608,6.277,1.6,2.8,1
41,400276.172,3876558.371,0.227,0.1607,6.43,0.1609,6.438,2.2,3.9,1
42,400276.272,3876558.246,0.233,0.1607,6.591,0.1609,6.599,2.2,3.9,1
43,400276.372,3876558.120,0.24,0.1607,6.751,0.1609,6.76,2.6,4.5,1
44,400276.472,3876557.994,0.248,0.1607,6.912,0.1609,6.921,2.8,4.8,1
45,400276.572,3876557.869,0.255,0.1607,7.073,0.1609,7.082,2.7,4.7,1
46,400276.673,3876557.743,0.263,0.1607,7.234,0.1609,7.243,2.8,4.8,1
47,400276.773,3876557.618,0.272,0.1607,7.394,0.161,7.404,3.0,5.3,1
48,400276.873,3876557.492,0.282,0.1607,7.555,0.1611,7.565,3.7,6.5,1
49,400276.973,3876557.366,0.293,0.1607,7.716,0.1611,7.726,3.8,6.6,1
50,400277.073,3876557.241,0.304,0.1607,7.877,0.1612,7.887,4.1,7.1,1
51,400277.174,3876557.115,0.316,0.1607,8.037,0.1612,8.048,4.2,7.4,1
52,400277.274,3876556.989,0.328,0.1607,8.198,0.1612,8.209,4.3,7.4,1
53,400277.374,3876556.864,0.337,0.1607,8.359,0.161,8.37,3.0,5.3,1
54,400277.474,3876556.738,0.342,0.1607,8.52,0.1608,8.531,1.9,3.3,1
55,400277.574,3876556.612,0.348,0.1607,8.68,0.1609,8.692,2.1,3.7,1
56,400277.675,3876556.487,0.352,0.1607,8.841,0.1608,8.853,1.5,2.6,1
57,400277.775,3876556.361,0.356,0.1607,9.002,0.1608,9.014,1.2,2.1,1
58,400277.875,3876556.236,0.358,0.1607,9.163,0.1608,9.174,0.7,1.2,1
59,400277.975,3876556.110,0.363,0.1607,9.323,0.1608,9.335,1.8,3.2,1
60,400278.075,3876555.984,0.368,0.1607,9.484,0.1608,9.496,2.0,3.6,1
61,400278.176,3876555.859,0.372,0.1607,9.645,0.1608,9.657,1.2,2.0,1
62,400278.276,3876555.733,0.376,0.1607,9.806,0.1608,9.818,1.7,3.0,1
63,400278.376,3876555.607,0.38,0.1607,9.966,0.1608,9.979,1.3,2.3,1
